제목,장점,단점,경영진에게 하고싶은 말
겉보기만 화려하게 꾸미려고 하고 내실은 없음 곪을대로 곪아버린 회사,연차를 눈치안보고 쓸 수 있음. 재택근무 제도를 계속 유지함,일정한 몇명에 의해서 회사가 흔들림. 일관성 없는 정책으로 혼선이 았음,경영진 마음대로 이랬다가 저랬다가 안했으면 좋겠음. 입 가볍고 간악한자를 멀리하시오
알바조차 대우받으며 일했음. 알바여도 팀장님이 잘 챙겨주심,수평적이면서 항상 직원을 우선으로 생각한다고 느꼈음.,성장하면 좋을 텐데.. 줌 포탈이 잘 안되는거 같아서 안타까움,더욱 더 발전하는 회사가 되길 응원하겠습니다! 이스트소프트 좋아해요
경영 방침 변화로 퇴사자 다수 발생하고 신규인력 채워지지 않으면서 업무에 구멍이 생기기 시작함,23시 이후 퇴근 택시비 지원 및 저녁 식대 지원 등,퇴사자 다수 발생으로,신규 사업에 적극적인 투자를 통해 성과를 평가했으면 한다
회사 네임밸류가 상당히 좋으나 직원들은 점프업하게위해 한번 스쳐지나가는 회사로 생각하는것 같음,알약이라는 이름을 모르는 사람들이 없어 판매하기는 편하고 좋음,알약이 무료라는 인식이 강해 회사에서 구매해야하는 이유 설명을 무한반복해야하며 기업이 원하는 커스터마이징은 기대하기 어려움 최근 직원들 이탈 조짐이 많이 보임,앞으로도 쭈욱 기업성장하길 바라며 현재 근무하는 직원들의 소중함을 느껴주심 좋겠습니다
비개발직군도 꽤나 괜찮은 대우를 받을 수 있다,업력이 오래된만큼 조용한 범생이 같은 느낌이다. 신사업에 투자나 지원이 잘 되는 것 같다. 수평적이고 자율적인 조직문화를 만드려고 노력하는데 가상하긴 하다.,회의를 너무나 사랑하는 부서가 많다. 뉴비들이 많아서 좀 혼란스러운 분위기다. 또 짧게 근무하고 퇴사하는 인원이 많은 느낌? 수평적,회의 좀 줄였으면 좋겠습니다. 퇴사자들이 더 많이 발생하지 않도록 회사에서 고민하고 노력했으면.. 좋겠다..
가늘고 길게 다니려면 추천 ㅋ 들어가보면 유부녀 유부남 뿐,연차 맘데로 프리하게 다닐 수 있음 케바케지만 내가 본 부서들은 모두 동일한 분위기 그냥 편하게 다닐 수 있는게 이회사의 장점임,롤모델 없음 누구하나 책임지지 않으려는 태도 그저 편하게만 다님,꼰대 사장님.. 아직도 그러고 계시나여..?? 싹다 물갈이 된걸로 아는데 인재들 다 도망갔음
비전이 보이지않으며 주먹구구식으로 일하는 회사. 고인물이 많음.,워라밸이 좋으며 퇴근 후 개인시간을 보낼 수 있음. 커리어 욕심없이 다니기 편함,디자이너 다수가 같은 페이지로 디자인 제안해서 리드/메인 선정하는 프로세스. 같은 페이지로 시안경쟁 시키는 것을 좋아하며 올드한 방식으로 일함..,신규 사업에 적극적인 의지와 실행력이 있었으면 좋겠다..
신사업에 지속적으로 투자하고 발전하려는 회사,"트렌드를 반영하는 복지 제도, 개발 동료들의 역량, 사옥 컨디션, 회사 위치 등이 만족스러움. 자기계발 하고자하면 회사에서 많이 지원해주는 분위기. 젊고 전체적으로 분위기가 좋은 편이다.","분위기가 조직별로 다른 느낌도 있으며 부바부, 팀바팀이 있음. 중간관리자가 탄탄하지 못한 느낌을 받음.",계속 성장 가능성이 있는 회사의 모습을 보여주었으면 함
타이틀만 보고 가기엔 만족스러우시지 못할 회사입니다,"안정적인 직장, 워라밸은 확실하게 챙겨줌, 술에 물 탄듯 물에 술 탄듯 다니기 좋음",넥스트에 대한 워드만 던질 뿐 그 넥스트를 실행하고자 하는 의지를 조직원들에게 전혀 내리지 못하는 경영진,"차라리 현 비즈니스 모델로 유지하는 그림을 그리세요, 그게 잔류 조직원들에게 더 이로울 겁니다."
소소한 복지를 계속 챙겨주고 만들고 있음. 엄청난 행복은 아니어도 회사가 챙겨준다는 느낌을 받음,능력에 따라서 리더가 될 수 있고 업무 기회를 받을 수 있음,월급 루팡이 있고 성장을 기대만큼 하지 못하는 점은 아쉬움,곧 결과가 나올겁니다. 좀 더 힘내주세요
욕심부리지 않고 다니면 괜찮은 회사,워라밸 조절 가능. 당일 연차나 육아휴직 자유로움,비개발은 처우가 매우 안좋음,도대체 우리가 번돈들은 다 어디간겁니까. 사람들 다나가도 기술부서만 잡으면 된다이겁니까?
"다른 중소기업에 비해 좋은 복지, 다른IT기업에 비해 없는 실력","다른 중소기업에 비해 좋은복지(카페, 간식 등) 다른 소프트웨어 중소기업에 비해 좋은 초봉 이름값",점점 없어지는,다른 방향으로 사업발전을 했어어야 했다.. 카발로 돈벌고있을때
적당히 잘 다닐만했던 회사. 직원들과 라포 형성이 쉬웠음,연차를 마음대로 사용할 수 있다. 기업 분위기가 자유로운 편이다. 다들 뭔가 해보고자 노력한다 들등,"계약직에게 해당되지 않는 복지들이 있어서 아쉬웠음. 직원들은 좋지만 일부 직책저눈 음,, 그래도 직원분들은 착했음",사업을 잘 이어나가고는 있지만 뭔가 확실한게 필요해보임. 좀 더 구체적이고 확실한 사업으로 나가면 좋겠음
인턴이라서 그런지 잘 챙겨주고 했지만 너무 조용한 회사였어요.,인턴이라서 그런지 모르시는 분들도 잘 챙겨주고 새로 지은 제주캠퍼스라 건물도 깨끗했어요.,직접 대면해서 이야기 하는것보단 메신저로만 이야기해서 사무실이 너무 조용했어요.,좀 더 활기찬 분위기의 회사가 되었으면 좋겠습니다.
개발자 중심. 개발자를 잘 대우함. 비람만 잘 타면 크게 될 곳,실력 우선주의. 코딩 테스트로 연봉 점프 가능. 개발자는 괜찮은 경력,야근이 좀 많다?? 어쩔 수 없는 상황이지만 야근이 많았음.,일정은 넉넉하게. 다 좋음. 앞으로도 잘 될거 같음
개발자라면 역시 서비스기업로 가야하는 이유를 알수잇는 기업,"연차같은건 기본이고, 개발자들과 함께 성장할수있는 기업. 기본기를 단단히 닦을수 있어 좋았다.","너무 비지니스 영역이 한정되어있는 점이, 나와 회사를 위해서 모두 좋지 않은 부분으로 작용했다.","과거를 버리고, 새로운 미래 먹거리를 찾으셨으면 좋겠습니다. 그리고 해외로 좀.."
다니기에 직원들이 보람차게 다니기 좋은 곳입니다.,여성이 다니기에 좋은 회사 문화이다. IT 계열에서 커리어를 쌓고 싶다면 추천하는 회사이다.,부서별로 차이가 있겠지만 기업이 안정적으로 성장하면 사내 정치가 활발하고 고속성장하면 서로가 똘똘 뭉치는 분위기,모든 회사가 그렇겠지만 신규 사업에 투자를 할 때 의사결정이 어려운 점이 많다.
IT업계 동일하겠지만 개발자가 우대 받는 환경 업력을 인정받아 경력자들 이직을 잘함,"연차자가승인제도, 시차출퇴근, 3재택2출근제도, 연차선부여, 업무장비구매지원비, 새노트북, 사내카페테리아, 제주캠퍼스 근무 및 숙소 사용 가능, 사옥 리모델링, 외부(방송)활동, 행사를 많이함 등","계열사&부서간 알력이 심한편, 장기근속자가 많아 제도 개편이 어려움, 여러 군상의 사람을 경험할 수 있음, 신입고졸개발자가 나보다 연봉이 높은 상황을 목격할 수 있음, 퇴사율이 높은 편, 부서별 온도차이 등","임원 중 일부 활동하는 내용이 직원들에게 공유되어 외부적으로 노력하고 바빠보이나, 내부적으로 근무하는 직원들에게 관심을 주면 좋겠음"
전반적으로 유연한 분위기나 팀 마다 편차가 심한 듯함 팀&팀원 잘 만나면 성장의 기회가 있다고 생각함,팀마다 다르지만 눈치 안보고 연차를 쓸 수 있다는 점과 유연한 근무가 좋음 워라밸 지켜지는 편,일부 사람 & 부서에 힘이 집중된 경향이 있어서 중간에서 눈치를 많이 보는 경우가 종종 있음 주변 밥값이 비싼편,개발위주로 돌아가는 경향이 많아 마케팅 쪽에 적극적으로 힘을 실어줬으면 좋겠음
0점짜리 기업. 인생 한번 그르쳐보고 싶다 싶으면 입사를 추천합니다.,제품이 이미 오랜기간 시장에서 자리잡고 있어서 못해도 티도 잘 안나는 장점이 있음 . 한글 불편해도 그냥 쓰는 것 같은 그냥 먹고 가는게 있지.,회사가 성장이나 공동의 이익이 아닌 오로지 대표. 그것도 전문경영인 한 사람의 임기 연장과 사적 이익 추구를 위해 기업이 운전되고 있다는 생각이 듭니다 그러니 내부 파벌이 날뛰고 남탓에 대표에게 꼬리치기 잘하는 사람이 성공하는 전형적인 오래된 중소기업을 경험할 수 있습니다,대표 교체 전 아무것도 변하지 않는다는 걸 잘 압니다. 허수아비 경영진이 불쌍해요.
기획자로써 나름 조금씩이라도 배울 수 있었던 기업. 하지만 근무 양으로써는..모르겠다,보통 근무시간을 잘 지키기도 하였고 무엇보다 일의 처리가 상사분들이 빠르셔서 오래 기다리거나 혹은 넋 놓고 있는다던지 그런건 없음,문서 작업이 굉장히 의외로 많다? 또한 내집에서 멀기도 하였어서 근무하는데 조금은 불편함이 있었다. 이건 내가 선택한거지만,신규 기획 상품에 대한 적극적 의지를 보여주셨으면 좋겠다.. 애매모호한 환경 속에서의 근무 말고도 정확한 무언가로 사로잡았으면 좋겠다.
무난하게 일하기 좋고 경력 쌓기 좋은 회사. 같이 일하는 사람들이 다 좋음,"코로나 심할때 풀재택, 휴가 자기결재로 편하게 사용, 회사 사람들 분위기가 전반적으로 선함 연간 복지포인트 120만원, 작년 전체 연봉 400만원 상승 등 복지 채워주려고 노력하는게 보임",1인이 소화해야하기에는 솔직히 양이 너무 많음. 부서마다 다르겠지만.. 히스토리가 너무 많아서 팀원에 누구 하나 퇴사해버리면 힘들어짐,인력 충원에 조금 더 힘써주시면 좋겠습니다 퇴사자 생기면 너무 골치아파요..
그럭저럭 가늘고 길게 다닐사람만 다니는 곳 거의 공무원 수준,"팀 잘만나면 정말 일 편함. 월루 많고, 준 공무원 여자들 다니기 좋을듯 아줌마들 겁나 많음",돈돈돈.. 이돈을 받고 일을 하라니 노양심인듯..? 열심히 한만큼 안줌 위에 잘보이는 사람만 잘주는 듯? 월루여도 라인 잘타면 잘나감,인재들 이만큼 뺏꼈음.. 깨달을떄도 되지 않았난 싶은데요 월루들좀 어떻게좀 해봐여
개발자만 우대 그외 인원들은 소모품으로 생각하는 경향이 큼,복지포인트 카페테리아 부분적으로 개선한 사무실 인테리어,인원충원 안함 일 어디가나 있겠지만 월급루팡 다수 포진,개발자만 회사에 돈 벌어주는 사람 아닙니다 뒤에선 다들 열심히 합니다
계약직까지 일해보았지만 일하는 사람들도 지원도 너무 좋고 정말 다 좋지만 쓸데없는 파벌이 존재해서 이사들이 점수를 깎는 기업,모든 팀이 다 잘 지낼수 있는 환경 / 압박이라는게 없음 / 자기 일 열심히하면 누구든 다 도와줌 (사내 프로그램으로 도와줄 수 있는 환경이 준비됨) / 휴가에 대한 눈치도 전혀 없음 / 급여에 대한 스트레스가 없음,진짜 단점은 각 이사들의 기싸움이 보기 좋지 않음 / 생각보다 낮은 복지(계약직) 이라 그럴수도 있음 / 위치가 생각보다 남부터미널에서 멈 (예술의전당에 너무나도 가까움),쓸데없는 자기 팀 꾸리기를 안했으면 함
직원들에 대한 대우가 좋지 않아 퇴사자가 많음,연차를 눈치 안보고 쓸 수 있고 야간식대가 나옴 재택 근무 제도 존재함 워라밸은 좋은편 아님,연봉 및 복지가 좋지 않음 복지가 너어어어어어어어무 없음,직원들을 챙겨줬으면 이렇게 안나갔을것임
체계없이 윗사람 기분에 맞춰 플랜을 정하는 부서 매번 플랜을 변경,오래된 아이티 회사 인지도가 높음 개발자 대우받는 회사,정치질이 심하고 전략이나 비전이 그때 그때 변경된다 직원은 뭔일 하는지 모르고 함,서로 공유좀 잘하고 말만 수평적이라고 하지말길 바랍니다
